time,stl1Mean,stl2Mean,stl3Mean,stl4Mean,SKTMean,depth1,srcMean,T2mMean,swl1Mean,swl2Mean,swl3Mean,swl4Mean,TPMean,time,depth2,depth3,depth4
2019/1/30,-5.3016675,-4.7799475,-3.5157875,0.0500125,-14.024615,7,7.15E-06,-11.55388,0.367530823,0.351356505,0.32485199,0.38404083,0.000170272,1,21,72,189
2019/1/31,-5.0339725,-4.8260875,-3.53324,-0.0380325,-14.35623,7,7.37E-06,-11.8596125,0.367286683,0.351829528,0.32476425,0.383975988,0.000101515,1,21,72,189
2019/2/1,-5.319005,-4.8123575,-3.56076,-0.1246425,-13.5469075,7,7.40E-06,-10.31912,0.366706848,0.352352145,0.324687955,0.383903505,5.64E-06,1,21,72,189
2019/2/2,-4.9754375,-4.775485,-3.59244,-0.2105175,-11.657775,7,7.63E-06,-8.602605,0.366432195,0.352794645,0.32460022,0.38384247,7.41E-05,1,21,72,189
2019/2/3,-4.68455,-4.490695,-3.5994,-0.2949525,-12.371715,7,7.60E-06,-8.837805,0.364891053,0.353469848,0.32452011,0.38377762,0.000128183,1,21,72,189
2019/2/4,-4.45686,-4.380135,-3.6053825,-0.378885,-10.1068625,7,7.63E-06,-5.1530825,0.36405182,0.354030613,0.324455263,0.383705138,2.89E-05,1,21,72,189
2019/2/5,-4.3581,-4.2416775,-3.6000725,-0.46204,-8.6356025,7,6.77E-06,-3.0297325,0.364349365,0.354423523,0.324401855,0.383644105,7.56E-07,1,21,72,189
2019/2/6,-4.2591,-4.0569825,-3.570895,-0.5411725,-8.6604825,7,4.05E-06,-7.645085,0.364101408,0.354728698,0.32435608,0.38358307,3.05E-05,1,21,72,189
2019/2/7,-4.7597075,-4.1608325,-3.5255475,-0.6163725,-10.54377,7,2.27E-06,-13.49225,0.363533023,0.354854585,0.32431793,0.383522033,0.000482442,1,21,72,189
2019/2/8,-4.6437425,-4.3048775,-3.5236,-0.6896725,-11.668595,7,1.90E-06,-13.1088075,0.36332321,0.35495377,0.3242569,0.383461,0.000398289,1,21,72,189
2019/2/9,-4.7582775,-4.3929525,-3.5442875,-0.7593725,-13.3627175,7,1.59E-06,-14.246685,0.363044738,0.355140688,0.324199678,0.383399965,0.000141754,1,21,72,189
2019/2/10,-5.409765,-4.748085,-3.621315,-0.829385,-14.3471375,7,1.70E-06,-15.763015,0.362621308,0.355285645,0.324150083,0.383335115,9.06E-05,1,21,72,189
2019/2/11,-5.59159,-4.957375,-3.74015,-0.900855,-13.4171425,7,1.61E-06,-14.1133475,0.362480165,0.355304715,0.32410431,0.383274075,4.06E-05,1,21,72,189
2019/2/12,-4.92075,-4.8066775,-3.81913,-0.97324,-11.1882675,7,1.50E-06,-9.91176,0.362277985,0.355365753,0.324054715,0.383213048,2.45E-06,1,21,72,189
2019/2/13,-4.0759075,-4.170505,-3.7951425,-1.0452025,-8.36929,7,1.56E-06,-8.8520125,0.362171172,0.355457308,0.324016575,0.38315582,8.55E-06,1,21,72,189
2019/2/14,-3.85624,-3.866215,-3.7013875,-1.1115475,-8.1147375,7,1.54E-06,-8.3289825,0.361968995,0.355499268,0.323982235,0.38309479,7.56E-06,1,21,72,189
2019/2/15,-3.49589,-3.5848425,-3.5721175,-1.171115,-7.9048275,7,1.46E-06,-7.0971425,0.361381535,0.355514525,0.323951725,0.38303375,1.66E-06,1,21,72,189
2019/2/16,-3.116825,-3.23026,-3.4287475,-1.2255025,-6.1601175,7,1.59E-06,-8.1359975,0.361782073,0.3554802,0.3239441,0.38297272,0.000451615,1,21,72,189
2019/2/17,-2.8858075,-3.0386975,-3.2580375,-1.2704225,-7.950235,7,1.59E-06,-8.9243075,0.362358098,0.355552677,0.323932648,0.38291168,0.000420946,1,21,72,189
2019/2/18,-2.4995475,-2.8335925,-3.1243325,-1.308815,-5.78579,7,1.06E-06,-5.0112725,0.362342833,0.355751038,0.323940283,0.38285065,5.89E-05,1,21,72,189
2019/2/19,-1.678995,-2.2645625,-2.945625,-1.34141,-2.6765325,7,3.28E-07,-2.6020275,0.36172867,0.356090545,0.323966975,0.382801055,1.07E-06,1,21,72,189
2019/2/20,-1.52863,-1.900795,-2.702125,-1.3646575,-3.216245,7,3.13E-07,-6.6404625,0.360111238,0.356346125,0.324005132,0.382743833,0.000537682,1,21,72,189
2019/2/21,-2.13382,-1.9849275,-2.497685,-1.3781525,-6.8176925,7,2.76E-07,-11.2204775,0.358020788,0.356277468,0.3240509,0.3826828,0.000651684,1,21,72,189
2019/2/22,-2.54746,-2.351875,-2.44107,-1.3871825,-7.62642,7,2.31E-07,-12.0551175,0.356361388,0.356128695,0.324077605,0.382629397,0.00049062,1,21,72,189
2019/2/23,-2.79047,-2.5558525,-2.4514825,-1.3964,-8.806345,7,2.16E-07,-13.0941725,0.355392458,0.35601425,0.32410431,0.38257599,0.000361122,1,21,72,189
2019/2/24,-3.2789025,-2.8543175,-2.51322,-1.405735,-9.52106,7,3.05E-07,-12.5778075,0.354675295,0.355972288,0.32411194,0.38252258,0.000464759,1,21,72,189
2019/2/25,-3.411075,-2.887455,-2.556705,-1.4183725,-11.8364,7,4.02E-07,-13.7595625,0.35420227,0.35590744,0.32411194,0.38246918,0.000378946,1,21,72,189
2019/2/26,-4.1097775,-3.482185,-2.69489,-1.432775,-12.077065,7,1.86E-07,-13.48177,0.354171757,0.355831145,0.324100495,0.382415767,2.58E-05,1,21,72,189
2019/2/27,-3.24259,-3.334545,-2.8252575,-1.4528575,-7.199845,7,1.79E-07,-11.6231675,0.353218083,0.355838775,0.324085235,0.382362368,0.000142011,1,21,72,189
2019/2/28,-3.5329975,-3.092385,-2.803075,-1.4748275,-12.7379525,7,3.73E-07,-13.524565,0.352256775,0.35583496,0.32408142,0.38231659,0.000895867,1,21,72,189
2019/3/1,-4.2295875,-3.63419,-2.89542,-1.49662,-14.1310425,7,2.16E-07,-12.54402,0.35284805,0.35573578,0.324077605,0.38226318,0.000193052,1,21,72,189
2019/3/2,-3.2774725,-3.328865,-2.9566725,-1.5199925,-9.3413325,7,5.96E-08,-11.03124,0.35305405,0.355808258,0.32406616,0.38220978,6.89E-07,1,21,72,189
2019/3/3,-2.7218425,-2.98743,-2.93088,-1.5442875,-7.3403775,7,1.79E-07,-10.28332,0.350589755,0.355892183,0.32406616,0.382164,1.50E-06,1,21,72,189
2019/3/4,-2.5559425,-2.67835,-2.8382,-1.565765,-6.0461725,7,1.19E-07,-10.722965,0.34881592,0.35580063,0.32406616,0.382110598,0.000493348,1,21,72,189
2019/3/5,-3.0788975,-2.7302025,-2.7345,-1.5815825,-9.6242775,7,2.61E-07,-12.0807575,0.348003385,0.35567093,0.32406616,0.382061005,0.000842782,1,21,72,189
2019/3/6,-2.59293,-2.756695,-2.712495,-1.59562,-7.72939,7,1.86E-07,-12.0055975,0.348213198,0.355609895,0.32406616,0.382011413,0.000606464,1,21,72,189
2019/3/7,-2.1836625,-2.335515,-2.6168925,-1.607025,-9.61429,7,1.86E-07,-12.360295,0.34799195,0.355602265,0.32407379,0.381965638,0.000776636,1,21,72,189
2019/3/8,-2.4383325,-2.42765,-2.5350125,-1.6144775,-10.180635,7,6.71E-08,-12.2228175,0.34776688,0.35560608,0.32408142,0.38191605,0.000247145,1,21,72,189
2019/3/9,-2.1372775,-2.350135,-2.498605,-1.62021,-7.27005,7,1.19E-07,-9.8768475,0.346782685,0.355567938,0.32408905,0.381866455,4.79E-05,1,21,72,189
